,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,source
0,Honda,Civic,2013,96000,360000,8891
1,Honda,Fit,2018,20000,430000,8891
2,Mercedes-Benz,A-Class,2020,1000,1830000,8891
3,Mercedes-Benz,E-Class Estate,2018,56000,2380000,8891
4,Mercedes-Benz,GLC,2016,95000,1530000,8891
5,Mercedes-Benz,GLC,2020,12000,2220000,8891
6,Mercedes-Benz,GLC,2017,25000,0,8891
7,BMW,X1,2011,121000,520000,8891
8,Suzuki,Swift,2019,10000,388000,8891
9,Ford,Focus,2017,90000,550000,8891
10,Toyota,Corolla Altis,2020,5000,588000,8891
11,Mercedes-Benz,C-Class Sedan,2016,51000,0,8891
12,Mercedes-Benz,GLC,2017,32000,1600000,8891
13,Mercedes-Benz,GLC,2017,56000,1750000,8891
14,Mercedes-Benz,C-Class Sedan,2008,26000,0,8891
15,Nissan,Juke,2016,80000,420000,8891
16,Mercedes-Benz,CLA,2019,25000,0,8891
17,Mercedes-Benz,CLA,2020,12000,1980000,8891
18,Mercedes-Benz,C-Class Sedan,2016,82000,1430000,8891
19,Mercedes-Benz,CLA,2019,37000,1880000,8891
20,Lexus,RX,2015,40000,1980000,8891
21,BMW,4-Series Gran Coupé,2015,81000,1338000,8891
22,Toyota,Prius,2017,57000,658000,8891
23,BMW,X4,2019,10000,2680000,8891
24,Porsche,Panamera,2017,55000,3680000,8891
25,Mercedes-Benz,GLC,2016,61000,1550000,8891
26,BMW,M4,2016,60000,0,8891
27,Infiniti,FX37,2013,150000,620000,8891
28,Toyota,Yaris,2015,43000,272000,8891
29,BMW,5-Series Sedan,2017,61000,1520000,8891
30,Mercedes-Benz,GLC,2017,52000,1680000,8891
31,Mercedes-Benz,C-Class Sedan,2019,5900,2680000,8891
32,Mercedes-Benz,E-Class Estate,2017,56000,2380000,8891
33,BMW,5-Series Sedan,2017,34000,2050000,8891
34,BMW,6-Series GT,2018,47000,2380000,8891
35,Porsche,Macan,2017,71000,1850000,8891
36,Mercedes-Benz,A-Class,2016,70000,1150000,8891
