,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,car_color,car_door,car_seat,auto_gas_size,car_driveMode,car_fuel,auto_tab_name,verified,source
0,HONDA,CIVIC,2013,96000,360000,灰,4,5,1800,2,汽油,自排,0.0,8891
1,HONDA,FIT,2018,20000,430000,白,5,5,1500,2,汽油,自排,0.0,8891
2,MERCEDES-BENZ,A-CLASS,2020,1000,1830000,白,5,5,2000,4,汽油,手自排,0.0,8891
3,MERCEDES-BENZ,E-CLASS ESTATE,2018,56000,2380000,黑,5,5,2000,4,汽油,手自排,0.0,8891
4,MERCEDES-BENZ,GLC,2016,95000,1530000,白,5,5,2000,4,汽油,手自排,0.0,8891
5,MERCEDES-BENZ,GLC,2020,12000,2220000,黑,5,5,2000,4,汽油,手自排,0.0,8891
6,MERCEDES-BENZ,GLC,2017,25000,0,黑,5,5,2000,4,汽油,手自排,0.0,8891
7,BMW,X1,2011,121000,520000,白,5,5,2000,2,汽油,手自排,0.0,8891
8,SUZUKI,SWIFT,2019,10000,388000,白,5,5,1000,2,汽油,手自排,0.0,8891
9,FORD,FOCUS,2017,90000,550000,灰,5,5,2000,2,柴油,自手排,0.0,8891
10,TOYOTA,COROLLA ALTIS,2020,5000,588000,白,4,5,1800,2,汽油,自排,0.0,8891
11,MERCEDES-BENZ,C-CLASS SEDAN,2016,51000,0,白,4,5,2000,4,汽油,手自排,0.0,8891
12,MERCEDES-BENZ,GLC,2017,32000,1600000,黑,5,5,2000,4,汽油,手自排,0.0,8891
13,MERCEDES-BENZ,GLC,2017,56000,1750000,白,5,5,2000,4,汽油,手自排,0.0,8891
14,MERCEDES-BENZ,C-CLASS SEDAN,2008,26000,0,灰,4,5,6500,2,汽油,手自排,0.0,8891
15,NISSAN,JUKE,2016,80000,420000,藍,5,5,1600,4,汽油,自排,0.0,8891
16,MERCEDES-BENZ,CLA,2019,25000,0,黑,4,5,2000,2,汽油,自手排,0.0,8891
17,MERCEDES-BENZ,CLA,2020,12000,1980000,黑,4,5,2000,2,汽油,手自排,0.0,8891
18,MERCEDES-BENZ,C-CLASS SEDAN,2016,82000,1430000,白,4,5,2000,4,汽油,手自排,0.0,8891
19,MERCEDES-BENZ,CLA,2019,37000,1880000,白,4,5,2000,2,汽油,手自排,0.0,8891
20,LEXUS,RX,2015,40000,1980000,白,4,5,3500,4,油電複合,自手排,0.0,8891
21,BMW,4-SERIES GRAN COUPÉ,2015,81000,1338000,黑藍,4,5,2000,2,汽油,手自排,0.0,8891
22,TOYOTA,PRIUS,2017,57000,658000,灰,5,5,1800,2,油電複合,手自排,0.0,8891
23,BMW,X4,2019,10000,2680000,黑,5,5,3000,4,汽油,手自排,0.0,8891
24,PORSCHE,PANAMERA,2017,55000,3680000,白,4,4,3000,4,汽油,自手排,0.0,8891
25,MERCEDES-BENZ,GLC,2016,61000,1550000,黑,5,5,2000,4,汽油,手自排,1.0,8891
26,BMW,M4,2016,60000,0,黑,2,4,3000,2,汽油,手自排,0.0,8891
27,INFINITI,FX37,2013,150000,620000,白,5,5,3700,4,汽油,手自排,0.0,8891
28,TOYOTA,YARIS,2015,43000,272000,白,5,5,1500,2,汽油,自手排,0.0,8891
29,BMW,5-SERIES SEDAN,2017,61000,1520000,白,4,5,2000,2,汽油,手自排,0.0,8891
30,MERCEDES-BENZ,GLC,2017,52000,1680000,白,5,5,2000,4,汽油,手自排,1.0,8891
31,MERCEDES-BENZ,C-CLASS SEDAN,2019,5900,2680000,黑,4,5,3000,4,汽油,手自排,0.0,8891
32,MERCEDES-BENZ,E-CLASS ESTATE,2017,56000,2380000,黑,5,7,3000,4,汽油,手自排,1.0,8891
33,BMW,5-SERIES SEDAN,2017,34000,2050000,藍,4,5,3000,4,汽油,手自排,1.0,8891
34,BMW,6-SERIES GT,2018,47000,2380000,白,5,5,3000,4,汽油,手自排,0.0,8891
35,PORSCHE,MACAN,2017,71000,1850000,白,4,5,2000,4,汽油,自手排,0.0,8891
36,MERCEDES-BENZ,A-CLASS,2016,70000,1150000,黑,5,5,2000,2,汽油,自排,0.0,8891
37,VOLKSWAGEN,T5 KOMBI,2009,260000,220000,白,4,8,1900,2,柴油,手排,0.0,8891
38,MERCEDES-BENZ,GLC,2016,68000,1580000,黑,5,5,2000,4,汽油,手自排,0.0,8891
39,SUZUKI,SWIFT,2009,60000,100000,白,5,5,1500,2,汽油,自排,0.0,8891
40,TOYOTA,COROLLA ALTIS,2012,100000,315000,白,4,5,1800,2,汽油,自手排,0.0,8891
41,MERCEDES-BENZ,C-CLASS COUPE,2017,26000,1498000,白,2,4,2000,2,汽油,手自排,0.0,8891
42,BMW,X4,2019,10000,2680000,黑,5,5,3000,4,汽油,手自排,0.0,8891
43,BMW,4-SERIES COUPE,2016,95000,1150000,黑,2,4,2000,2,汽油,手自排,0.0,8891
44,PORSCHE,MACAN,2019,11000,2780000,邁阿密藍,5,5,2000,2,汽油,手自排,1.0,8891
45,BMW,5-SERIES SEDAN,2012,70000,718000,藍,4,5,2000,2,柴油,自手排,0.0,8891
46,MERCEDES-BENZ,A-CLASS,2019,33000,1490000,黑,4,5,2000,2,汽油,手自排,0.0,8891
47,BMW,3-SERIES GT,2013,128000,950000,白,4,5,2000,4,汽油,自手排,0.0,8891
48,PORSCHE,911 CARRERA S,2019,880,6680000,白,2,2,3000,2,汽油,手自排,0.0,8891
49,MERCEDES-BENZ,C-CLASS SEDAN,2017,19000,0,黑,4,5,3000,4,汽油,手自排,0.0,8891
50,VOLKSWAGEN,GOLF,2012,49000,308000,藍,5,5,1600,2,汽油,自手排,0.0,8891
51,MAZDA,3,2010,85000,205000,黑,4,5,2000,2,汽油,手自排,0.0,8891
52,MERCEDES-BENZ,C-CLASS SEDAN,2014,106000,1008000,白,4,5,2000,2,汽油,手自排,0.0,8891
53,HONDA,CIVIC,2011,113000,265000,灰,4,5,1800,2,汽油,手自排,0.0,8891
54,VOLKSWAGEN,GOLF GTI,2017,59000,958000,白,5,5,2000,2,汽油,手自排,0.0,8891
55,SUZUKI,SWIFT,2018,35000,488000,黑,5,5,1000,2,汽油,手自排,1.0,8891
56,MASERATI,GHIBLI SQ4,2014,80000,1700000,黑,4,5,3000,4,汽油,手自排,0.0,8891
57,MERCEDES-BENZ,E-CLASS SEDAN,2016,70000,1330000,灰,4,5,2000,2,汽油,手自排,0.0,8891
58,BMW,5-SERIES SEDAN,2011,130000,780000,黑,4,5,3000,2,汽油,手自排,0.0,8891
59,BMW,5-SERIES SEDAN,2017,50000,1340000,藍,4,5,2000,2,汽油,自手排,0.0,8891
60,MERCEDES-BENZ,S-CLASS SEDAN,2014,100000,1680000,黑,4,5,3000,2,汽油,手自排,0.0,8891
61,MERCEDES-BENZ,S-CLASS SEDAN,2018,30000,3980000,黑,4,5,4000,2,汽油,手自排,0.0,8891
62,MERCEDES-BENZ,E-CLASS SEDAN,2016,31000,1680000,黑,4,5,2000,2,汽油,手自排,0.0,8891
63,MERCEDES-BENZ,GLC,2015,67000,1480000,白,5,5,2000,4,汽油,手自排,0.0,8891
64,MERCEDES-BENZ,GLC,2017,45000,1790000,白,5,5,2000,4,汽油,手自排,0.0,8891
65,BMW,7-SERIES,2015,84000,1590000,黑,4,5,3000,2,柴油,手自排,0.0,8891
66,VOLKSWAGEN,TIGUAN,2012,150000,288000,灰,5,5,2000,4,柴油,自手排,0.0,8891
67,MERCEDES-BENZ,A-CLASS,2016,35000,1480000,灰,5,5,2000,4,未填寫,自手排,0.0,8891
68,MERCEDES-BENZ,E-CLASS SEDAN,1990,160000,229000,銀,4,5,2300,2,汽油,自排,0.0,8891
69,TOYOTA,VIOS,2017,110000,338000,白,4,5,1500,2,汽油,手自排,1.0,8891
70,TOYOTA,COROLLA ALTIS,2014,117000,338000,白,4,5,1800,2,汽油,手自排,1.0,8891
71,MERCEDES-BENZ,C-CLASS SEDAN,2015,61000,1680000,白,4,5,2000,4,汽油,手自排,0.0,8891
72,MERCEDES-BENZ,A-CLASS,2020,9000,1800000,黑,5,5,2000,4,汽油,手自排,0.0,8891
73,PORSCHE,MACAN GTS,2016,75000,2680000,水泥灰,5,5,3000,4,汽油,手自排,0.0,8891
74,BMW,4-SERIES GRAN COUPÉ,2017,78000,1300000,白,4,4,2000,2,汽油,自手排,0.0,8891
75,MERCEDES-BENZ,C-CLASS SEDAN,2017,53000,0,黑,4,5,2000,4,汽油,手自排,0.0,8891
