,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_cylinderVolume,car_driveMode,car_fuel,car_gear,verified,car_address,car_title,car_photo,dealer_name,dealer_address,sunroof,TPMS,SRS,keyless,ESP,ABS,cruise_sys,HID_head,isofix,electric_seat,auto_AC,navi_sys,IVI_sys,leather_seat,parking_radar,parking_camera,BSM,LDW,source
0,236581,TOYOTA,ALTIS,2009,197710,196000,黑,1800,2.0,汽油,手自排,1,高雄市,豐田ALTIS 1800cc 2009年 黑色0頭款可全貸 ,https://www.hotcar.com.tw/UPLOAD/CW/HF1002/2601507.jpg,上暘汽車,高雄市鳥松區神農路856號,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,HOT
1,236578,MITSUBISHI,DELICA,2016,81609,358000,深藍,2400,2.0,汽油,手排,1,高雄市,三菱得利卡2400cc 2016年框式附加吊桿0頭款可全貸,https://www.hotcar.com.tw/UPLOAD/CW/HF1002/2601458.jpg,上暘汽車,高雄市鳥松區神農路856號,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,HOT
2,236571,SUZUKI,CARRY,2013,53167,286000,銀,1600,2.0,汽油,手排,1,高雄市,鈴木吉利 1590cc 2013年銀色0頭款可全貸,https://www.hotcar.com.tw/UPLOAD/CW/HF1002/2601372.jpg,上暘汽車,高雄市鳥松區神農路856號,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HOT
3,236495,NISSAN,MARCH,2013,92757,238000,淺綠,1500,2.0,汽油,自排,1,台中市,新手駕駛首選 顯眼 小台 好停車 好照顧,https://www.hotcar.com.tw/UPLOAD/CW/HD1076/2600464.jpg,聖傑汽車(烏日店),台中市烏日區中山路三段903號,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,HOT
4,236493,NISSAN,SENTRA,2015,43307,378000,白,1800,2.0,汽油,手自排,1,台中市,Aero 旗艦版 電動座椅調整 4安 多合一影音,https://www.hotcar.com.tw/UPLOAD/CW/HD1076/2600439.jpg,聖傑汽車(烏日店),台中市烏日區中山路三段903號,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,HOT
5,236491,TOYOTA,ALTIS,2011,90478,278000,白,1800,2.0,汽油,手自排,1,台中市,升級安卓多合一影音 E版 恆溫 定速巡航 實跑9萬,https://www.hotcar.com.tw/UPLOAD/CW/HD1076/2600407.jpg,聖傑汽車(烏日店),台中市烏日區中山路三段903號,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,HOT
6,236488,FORD,KUGA,2020,2568,938000,白,1500,2.0,汽油,手自排,1,台中市,正2020年大改款1.5All New Kuga EcoBoost 180旗艦型,https://www.hotcar.com.tw/UPLOAD/CW/HD1076/2600340.jpg,聖傑汽車(烏日店),台中市烏日區中山路三段903號,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,HOT
7,236403,FORD,FOCUS 五門,2019,45387,758000,白,1500,2.0,汽油,手自排,1,桃園市,明士汽車《保證實車實價登錄 里程保證》,https://www.hotcar.com.tw/UPLOAD/CW/HC1066/2599009.jpg,明士汽車,桃園市桃園區三民路一段7-1號(巨蛋旁),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
8,236361,TOYOTA,ALTIS,2018,79267,520000,銀,1800,2.0,汽油,手自排,1,雲林縣,省油省稅空間大,https://www.hotcar.com.tw/UPLOAD/CW/HE3001/2598513.jpg,金旺昇汽車,雲林縣斗南鎮大業路45號,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,HOT
9,236338,MITSUBISHI,ZINGER,2016,71683,368000,銀,2400,2.0,汽油,自排,1,桃園市,改款五速自排 後空調型~(40餘年老店誠信經營)里程保證,https://www.hotcar.com.tw/UPLOAD/CW/HC1005/2598147.jpg,永興汽車,桃園市大溪區介壽路545號,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,HOT
10,236337,HONDA,CR-V,2016,59169,688000,白,2400,4.0,汽油,手自排,1,台中市,防疫直購 安心自駕 原廠保養 里程保證  HONDA CRV 2.4S版 4WD,https://www.hotcar.com.tw/UPLOAD/CW/HD1086/2598125.jpg,承雄汽車,台中市南屯區五權西路二段1158號,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,HOT
11,236336,NISSAN,LIVINA,2012,162579,238000,鐵灰,1600,2.0,汽油,自排,1,高雄市,HOT金鑽模範店2012年 日產 LIVINA 小車大空間,https://www.hotcar.com.tw/UPLOAD/CW/HF1001/2598097.jpg,誠品汽車,高雄市岡山區中山北路169號,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,HOT
