,car_brand,car_model,car_year,car_mileage,car_price,source
0,TOYOTA,YARIS ,2009,228000,198000,SUM
1,TOYOTA,YARIS ,2017,35000,398000,SUM
2,HONDA,HR-V,2017,81359,568000,SUM
3,TOYOTA,VIOS ,2016,49345,338000,SUM
4,HYUNDAI,GRAND STAREX ,2016,116784,788000,SUM
5,BENZ,E-CLASS COUPE C207 ,2013,26699,959000,SUM
6,MITSUBISHI,OUTLANDER ,2016,91424,488000,SUM
7,TOYOTA,ALTIS ,2017,110238,398000,SUM
8,NISSAN,MARCH ,2013,88774,278000,SUM
9,TOYOTA,INNOVA,2016,136148,378000,SUM
10,HONDA,HR-V,2017,45951,569000,SUM
11,MITSUBISHI,COLT PLUS ,2018,65153,348000,SUM
12,TOYOTA,VIOS ,2016,17243,309000,SUM
13,NISSAN,BIG TIIDA 5D ,2016,55000,438000,SUM
14,LEXUS,IS ,2016,36000,998000,SUM
15,MITSUBISHI,OUTLANDER ,2017,50444,558000,SUM
16,LUXGEN,S5 TURBO ECO HYPER,2016,41981,298000,SUM
17,HONDA,CR-V ,2017,107669,779000,SUM
18,HONDA,HR-V,2018,120596,559000,SUM
19,SUBARU,FORESTER ,2018,28678,859000,SUM
20,HONDA,HR-V,2018,64410,578000,SUM
21,HONDA,CR-V ,2018,45343,898000,SUM
22,TOYOTA,SIENTA,2019,18676,498000,SUM
23,FORD,ECOSPORT ,2017,15925,399000,SUM
24,TOYOTA,CAMRY ,2019,22370,638000,SUM
25,NISSAN,TIIDA 5D ,2012,85647,258000,SUM
27,TOYOTA,WISH ,2016,77955,518000,SUM
28,TOYOTA,RAV4 ,2019,32661,898000,SUM
29,NISSAN,iTIIDA ,2018,41604,488000,SUM
30,MITSUBISHI,ZINGER,2018,57828,398000,SUM
31,HONDA,CIVIC,2011,83700,348000,SUM
32,TOYOTA,ALTIS ,2018,79774,488000,SUM
33,TOYOTA,RAV4 ,2018,85996,698000,SUM
34,MINI,MINI HATCH 5D ,2019,30000,898000,SUM
35,HONDA,CR-V ,2017,56000,838000,SUM
36,LUXGEN,U6 GT,2020,8493,688000,SUM
37,BENZ,CLA-CLASS,2017,20000,1168000,SUM
39,TOYOTA,C-HR,2019,50000,758000,SUM
40,TOYOTA,ALTIS ,2017,58823,458000,SUM
41,LUXGEN,U7 TURBO ,2014,65382,339000,SUM
42,TOYOTA,ALTIS ,2013,138352,298000,SUM
43,TOYOTA,VIOS ,2010,206299,188000,SUM
44,TOYOTA,ALTIS ,2017,31419,498000,SUM
45,HYUNDAI,SUPER ELANTRA ,2018,62702,428000,SUM
46,MITSUBISHI,COLT PLUS ,2018,92762,348000,SUM
47,BENZ,GLA-CLASS X156 ,2015,16604,959000,SUM
48,HYUNDAI,GRAND STAREX ,2015,124395,588000,SUM
49,TOYOTA,ALTIS ,2017,36591,468000,SUM
50,TOYOTA,YARIS ,2018,70144,428000,SUM
51,MITSUBISHI,ZINGER,2018,30000,398000,SUM
52,FORD,KUGA ,2018,50883,669000,SUM
53,MITSUBISHI,SUPER DELICA,2018,91120,398000,SUM
54,BENZ,E-CLASS W213 ,2017,93000,1838000,SUM
55,NISSAN,X-TRAIL ,2017,81292,608000,SUM
56,HONDA,FIT ,2017,48234,458000,SUM
57,HYUNDAI,SUPER ELANTRA ,2018,89738,428000,SUM
59,NISSAN,KICKS,2018,35000,588000,SUM
60,TOYOTA,YARIS ,2018,16555,438000,SUM
61,NISSAN,SUPER SENTRA ,2017,89863,358000,SUM
62,NISSAN,LIVINA,2013,150000,248000,SUM
65,MITSUBISHI,SUPER DELICA,2018,73463,368000,SUM
66,MITSUBISHI,SUPER DELICA,2018,85816,398000,SUM
68,TOYOTA,WISH ,2015,60415,498000,SUM
69,FORD,KUGA ,2015,86868,518000,SUM
70,MITSUBISHI,COLT PLUS ,2014,116528,238000,SUM
71,NISSAN,LIVINA,2018,38000,388000,SUM
72,TOYOTA,YARIS ,2018,72398,438000,SUM
73,LEXUS,NX ,2018,43000,1168000,SUM
74,MITSUBISHI,OUTLANDER ,2018,35824,598000,SUM
