,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolumn,car_driveMode,car_gearType,verified,source
0,TOYOTA,YARIS ,2009,228000.0,198000,灰,5,5,1500,2,自排,1.0,SUM
1,TOYOTA,YARIS ,2017,35000.0,398000,白,5,5,1500,2,手自排,1.0,SUM
2,HONDA,HR-V,2017,81359.0,568000,藍,5,5,1800,2,手自排,1.0,SUM
3,TOYOTA,VIOS ,2016,49345.0,338000,白,4,5,1500,2,手自排,1.0,SUM
4,HYUNDAI,GRAND STAREX ,2016,116784.0,788000,銀,5,9,2500,2,手自排,1.0,SUM
5,BENZ,E-CLASS COUPE C207 ,2013,26699.0,959000,黑,2,4,2000,2,手自排,1.0,SUM
6,MITSUBISHI,OUTLANDER ,2016,91424.0,488000,白,5,5,2400,4,自排,1.0,SUM
7,TOYOTA,ALTIS ,2017,110238.0,398000,銀,4,5,1800,2,手自排,1.0,SUM
8,NISSAN,MARCH ,2013,88774.0,278000,銀,5,5,1500,2,自排,1.0,SUM
9,TOYOTA,INNOVA,2016,136148.0,378000,白,5,5,2000,2,自排,1.0,SUM
10,HONDA,HR-V,2017,45951.0,569000,銀,5,5,1800,2,手自排,1.0,SUM
11,MITSUBISHI,COLT PLUS ,2018,65153.0,348000,藍,5,5,1500,2,手自排,1.0,SUM
12,TOYOTA,VIOS ,2016,17243.0,309000,銀,4,5,1500,2,手自排,1.0,SUM
13,NISSAN,BIG TIIDA 5D ,2016,55000.0,438000,白,5,5,1600,2,自排,1.0,SUM
14,LEXUS,IS ,2016,36000.0,998000,黑,4,5,2000,2,手自排,1.0,SUM
15,MITSUBISHI,OUTLANDER ,2017,50444.0,558000,黑,5,5,2400,4,自排,1.0,SUM
16,LUXGEN,S5 TURBO ECO HYPER,2016,41981.0,298000,灰,4,5,1800,2,手自排,1.0,SUM
17,HONDA,CR-V ,2017,107669.0,779000,黑,5,5,1500,2,手自排,1.0,SUM
18,HONDA,HR-V,2018,120596.0,559000,藍,5,5,1800,2,手自排,1.0,SUM
19,SUBARU,FORESTER ,2018,28678.0,859000,白,5,5,2000,4,手自排,1.0,SUM
20,HONDA,HR-V,2018,64410.0,578000,灰,5,5,1800,2,手自排,1.0,SUM
21,HONDA,CR-V ,2018,45343.0,898000,黑,5,5,1500,2,手自排,1.0,SUM
22,TOYOTA,SIENTA,2019,18676.0,498000,白,5,5,1800,2,自排,1.0,SUM
23,FORD,ECOSPORT ,2017,15925.0,399000,白,5,5,1500,2,自手排,1.0,SUM
24,TOYOTA,CAMRY ,2019,22370.0,638000,黑,4,5,2000,2,手自排,1.0,SUM
25,NISSAN,TIIDA 5D ,2012,85647.0,258000,白,5,5,1800,2,自排,1.0,SUM
27,TOYOTA,WISH ,2016,77955.0,518000,灰,5,7,2000,2,手自排,1.0,SUM
28,TOYOTA,RAV4 ,2019,32661.0,898000,黑,5,5,2000,2,手自排,1.0,SUM
29,NISSAN,iTIIDA ,2018,41604.0,488000,灰,5,5,1600,2,自排,1.0,SUM
30,MITSUBISHI,ZINGER,2018,57828.0,398000,銀,5,5,2400,2,自排,1.0,SUM
31,HONDA,CIVIC,2011,83700.0,348000,灰,4,5,1800,2,手自排,1.0,SUM
32,TOYOTA,ALTIS ,2018,79774.0,488000,白,4,5,1800,2,手自排,1.0,SUM
33,TOYOTA,RAV4 ,2018,85996.0,698000,灰,5,5,2000,2,手自排,1.0,SUM
34,MINI,MINI HATCH 5D ,2019,30000.0,898000,灰,5,5,1500,2,自手排,1.0,SUM
35,HONDA,CR-V ,2017,56000.0,838000,黑,5,5,1500,2,手自排,1.0,SUM
36,LUXGEN,U6 GT,2020,8493.0,688000,白,5,5,1800,2,手自排,1.0,SUM
37,BENZ,CLA-CLASS,2017,20000.0,1168000,白,4,5,1600,2,自手排,1.0,SUM
39,TOYOTA,C-HR,2019,50000.0,758000,銀,5,5,1200,2,手自排,1.0,SUM
40,TOYOTA,ALTIS ,2017,58823.0,458000,黑,4,5,1800,2,手自排,1.0,SUM
41,LUXGEN,U7 TURBO ,2014,65382.0,339000,黑,5,5,2200,4,手自排,1.0,SUM
42,TOYOTA,ALTIS ,2013,138352.0,298000,黑,4,5,1800,2,手自排,1.0,SUM
43,TOYOTA,VIOS ,2010,206299.0,188000,灰,4,5,1500,2,自排,1.0,SUM
