,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolumn,car_driveMode,car_fuel,car_gear,verified,car_address,car_title,dealer_name,dealer_address,sunroof,TPMS,SRS,keyless,theft_alarm,central_lock,ESP,TCS,ABS,cruise_sys,HID_head,LED_head,isofix,electric_seat,auto_AC,navi_sys,IVI_sys,SW_button,leather_seat,parking_radar,parking_camera,BSM,ACC,LDW,source
0,576310,TOYOTA,YARIS ,2009,228000,198000,灰,5,5,1500,2,汽油,自排,1,臺中市,【我才最便宜】超便宜認證車 只有永貿免20萬 代步首選 省油妥善率高 車內外漂亮無異味 賞車下訂再送螢幕! 僅此一台!,永貿汽車,臺中市潭子區崇德路四段273號(https://goo.gl/maps/GyN2YDTo5en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
1,576301,TOYOTA,YARIS ,2017,35000,398000,白,5,5,1500,2,汽油,手自排,1,臺中市,【全台最便宜不用再看了】僅跑3萬 一手原版件認證車 盲點偵測 大螢幕影音 黑橘雙色椅 黑頂棚 內外如新等您來賞車鑑定,永貿汽車,臺中市潭子區崇德路四段273號(https://goo.gl/maps/GyN2YDTo5en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
2,576272,HONDA,HR-V,2017,81359,568000,藍,5,5,1800,2,汽油,手自排,1,臺中市,正2017年 HRV 倒車顯影 換檔撥片 恆溫 IKEY 摸門解鎖 定速 多功能方向盤 Eco節能模式 原版件已認證!,永貿汽車,臺中市潭子區崇德路四段273號(https://goo.gl/maps/GyN2YDTo5en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
3,576264,TOYOTA,VIOS ,2016,49345,338000,白,4,5,1500,2,汽油,手自排,1,臺中市,【特價】僅跑4萬9 原版件認證車 車況與車內氣氛超好 皮椅如新 等您來鑑定 賞車下定送大螢幕 可客製化改裝,永貿汽車,臺中市潭子區崇德路四段273號(https://goo.gl/maps/GyN2YDTo5en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
4,576220,HYUNDAI,GRAND STAREX ,2016,116784,788000,銀,5,9,2500,2,柴油,手自排,1,臺中市,【特價】正2016年 半滑軌 一手少跑認證車 新車膜都還沒撕掉! 超漂亮! 全台最大的TQ批發商 只在永貿!!,永貿汽車,臺中市潭子區崇德路四段273號(https://goo.gl/maps/GyN2YDTo5en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
5,576120,BENZ,E-CLASS COUPE C207 ,2013,26699,959000,黑,2,4,2000,2,汽油,手自排,1,臺南市,特價!E250 總代理 14年式 雙門轎跑 一手只跑2.6萬  全景天窗 雙記憶椅 NAVI 全車原鈑件 可全貸!,金台南汽車(大同一店),臺南市仁德區大同路三段399號(大同路尾近台南機場),1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,SUM
6,576054,MITSUBISHI,OUTLANDER ,2016,91424,488000,白,5,5,2400,4,汽油,自排,1,屏東縣,【稀有4WD★TCL循跡防滑】✔3安✔定速✔恆溫空調✔車頂行李架✔ECO節能✔原鈑件,正大汽車,屏東縣屏東市和生路二段220號(正大汽車創始店),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
7,576000,TOYOTA,ALTIS ,2017,110238,398000,銀,4,5,1800,2,汽油,手自排,1,臺中市,【全台最便宜不用再看了】少跑原版件認證車 正17年 小改款11.5代 美車!賞車下訂送大螢幕 可客製化改裝! 價格超殺!,永貿汽車,臺中市潭子區崇德路四段273號(https://goo.gl/maps/GyN2YDTo5en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
8,575941,NISSAN,MARCH ,2013,88774,278000,銀,5,5,1500,2,汽油,自排,1,屏東縣,【豪華影音★一手美車】倒車顯影✔導航✔恆溫✔抬顯✔ABS✔皮革座艙✔全原鈑件✔✔,正大汽車,屏東縣屏東市和生路二段220號(正大汽車創始店),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
9,575887,TOYOTA,INNOVA,2016,136148,378000,白,5,5,2000,2,汽油,自排,1,屏東縣,【2.0客貨兩用★全原廠保養】省油耐操✔一手車✔ABS✔全原鈑件✔可全額貸✔,正大汽車,屏東縣屏東市和生路二段220號(正大汽車創始店),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
10,575862,HONDA,HR-V,2017,45951,569000,銀,5,5,1800,2,汽油,手自排,1,臺南市,可網購!S旗艦版 一手只跑4.5萬 LED頭燈 六安 原廠影音 快撥 可全貸 不用殺價就很便宜!,金台南汽車(大同一店),臺南市仁德區大同路三段399號(大同路尾近台南機場),0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,SUM
