,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_cylinderVolume,car_gear,verified,source
0,LUXGEN,URX,2021.0,1.0,980000.0,白,1798.0,手自排,1.0,ISAVE
1,LUXGEN,URX,2021.0,1.0,980000.0,白,1798.0,手自排,1.0,ISAVE
2,FORD,KUGA,2021.0,4275.0,1090000.0,白,1999.0,手自排,1.0,ISAVE
4,TOYOTA,COROLLA CROSS,2021.0,3.0,728000.0,白,1798.0,手自排,1.0,ISAVE
10,HONDA,TYPE R,2021.0,112.0,2280000.0,白,1996.0,手排,0.0,ISAVE
11,MAZDA,MAZDA 3,2021.0,1200.0,840000.0,,1998.0,自排,0.0,ISAVE
16,MITSUBISHI,COLT PLUS,2020.0,3000.0,438000.0,灰,1499.0,手自排,1.0,ISAVE
18,BMW,218,2020.0,2820.0,1238000.0,灰,1499.0,手自排,1.0,ISAVE
20,TOYOTA,YARIS,2020.0,24104.0,558000.0,紅,1496.0,手自排,1.0,ISAVE
22,BENZ,GLC300,2020.0,7000.0,2310000.0,白,1991.0,手自排,1.0,ISAVE
23,HONDA,HR-V,2020.0,13744.0,758000.0,黑,1799.0,手自排,1.0,ISAVE
25,BMW,330,2020.0,12000.0,1750000.0,白,1998.0,手自排,1.0,ISAVE
26,TOYOTA,CAMRY,2020.0,10000.0,918000.0,黑,2494.0,手自排,1.0,ISAVE
27,BENZ,A250,2020.0,23706.0,1770000.0,白,1991.0,手自排,1.0,ISAVE
28,MITSUBISHI,LANCER,2020.0,8562.0,558000.0,黑,1798.0,手自排,1.0,ISAVE
30,BMW,X1,2020.0,2024.0,1758000.0,白,1998.0,手自排,1.0,ISAVE
31,TOYOTA,AURIS,2020.0,17.0,778000.0,藍,1987.0,手自排,1.0,ISAVE
32,NISSAN,X-TRAIL,2020.0,15155.0,828000.0,紅,1997.0,手自排,1.0,ISAVE
33,NISSAN,KICKS,2020.0,9832.0,668000.0,灰,1498.0,自排,1.0,ISAVE
35,TOYOTA,CAMRY HYBRID,2020.0,23021.0,958000.0,黑,2487.0,手自排,1.0,ISAVE
36,TOYOTA,VIOS,2020.0,3538.0,488000.0,黑,1496.0,手自排,1.0,ISAVE
37,MITSUBISHI,OUTLANDER,2020.0,767.0,948000.0,白,2359.0,手自排,1.0,ISAVE
38,LUXGEN,URX,2020.0,2.0,799000.0,白,1798.0,手自排,1.0,ISAVE
40,TOYOTA,C-HR,2020.0,7.0,928000.0,銀,1197.0,手自排,1.0,ISAVE
41,TOYOTA,C-HR,2020.0,4.0,848000.0,白,1197.0,手自排,1.0,ISAVE
42,MITSUBISHI,ZINGER,2020.0,32.0,639000.0,灰,2378.0,自排,1.0,ISAVE
43,TOYOTA,PRIUS,2020.0,7.0,1008000.0,銀,1798.0,自排,1.0,ISAVE
44,TOYOTA,ALTIS,2020.0,5.0,758000.0,銀,1798.0,自排,1.0,ISAVE
45,TOYOTA,SIENTA,2020.0,9.0,668000.0,銀,1798.0,自排,1.0,ISAVE
46,TOYOTA,ALTIS,2020.0,14.0,728000.0,白,1798.0,自排,1.0,ISAVE
74,LUXGEN,URX,2020.0,16000.0,750000.0,白,1800.0,自排,0.0,ISAVE
75,AUDI,A1,2020.0,10000.0,998000.0,藍,999.0,手自排,0.0,ISAVE
76,BENZ,GLC300 COUPE,2020.0,5321.0,2698000.0,白,1991.0,手自排,0.0,ISAVE
77,HONDA,CITY,2020.0,4789.0,568000.0,白,1497.0,自排,0.0,ISAVE
78,HONDA,FIT,2020.0,2800.0,550000.0,白,1500.0,自排,0.0,ISAVE
79,BENZ,GLA 250,2020.0,7580.0,1930000.0,黑,1991.0,手自排,0.0,ISAVE
81,BENZ,GLA 250,2020.0,3892.0,538000.0,黑,2000.0,手自排,0.0,ISAVE
82,TOYOTA,YARIS,2020.0,31614.0,3650000.0,黑,1500.0,手自排,0.0,ISAVE
84,TOYOTA,YARIS,2020.0,19000.0,2480000.0,白,1496.0,手自排,0.0,ISAVE
85,BMW,X3,2020.0,13711.0,1488000.0,黑,1998.0,手自排,0.0,ISAVE
88,MAZDA,MAZDA 3,2020.0,35456.0,1480000.0,白,1998.0,自排,0.0,ISAVE
89,BMW,X1,2020.0,17000.0,539000.0,白,1500.0,自排,0.0,ISAVE
90,HONDA,FIT,2020.0,31728.0,1998000.0,白,1497.0,手自排,0.0,ISAVE
91,BENZ,CLA250,2020.0,15000.0,2568000.0,黑,2000.0,手自排,0.0,ISAVE
92,BENZ,GLC300,2020.0,12460.0,1690000.0,白,2000.0,手自排,0.0,ISAVE
93,BENZ,A220,2020.0,1.0,598000.0,黑,2000.0,自排,0.0,ISAVE
94,HONDA,FIT,2020.0,2500.0,638000.0,白,1497.0,自排,0.0,ISAVE
95,TOYOTA,SIENTA,2020.0,22930.0,698000.0,白,1798.0,自排,0.0,ISAVE
96,NISSAN,KICKS,2020.0,5698.0,680000.0,白,1498.0,手自排,0.0,ISAVE
97,FORD,FOCUS,2020.0,16000.0,1750000.0,白,1500.0,自排,0.0,ISAVE
122,MITSUBISHI,VERYCA,2020.0,6800.0,1990000.0,藍,1488.0,自排,0.0,ISAVE
125,FORD,KUGA,2019.0,19000.0,2550000.0,銀,1998.0,手自排,1.0,ISAVE
127,NISSAN,KICKS,2019.0,20000.0,1750000.0,紅,1498.0,手自排,1.0,ISAVE
129,NISSAN,JUKE,2019.0,10416.0,1388000.0,灰,1598.0,手自排,1.0,ISAVE
130,BENZ,VITO,2019.0,36538.0,899000.0,白,2143.0,手自排,1.0,ISAVE
131,LUXGEN,URX,2019.0,29000.0,817000.0,其它顏,1798.0,手自排,1.0,ISAVE
133,SUBARU,XV,2019.0,7379.0,788000.0,白,1995.0,手自排,1.0,ISAVE
134,SUBARU,IMPREZA,2019.0,2394.0,1970000.0,銀,1600.0,手自排,1.0,ISAVE
135,BENZ,CLA250,2019.0,15000.0,988000.0,白,1991.0,手自排,1.0,ISAVE
136,VOLKSWAGEN,TOURAN,2019.0,19457.0,538000.0,白,1395.0,手自排,1.0,ISAVE
137,TOYOTA,YARIS,2019.0,1739.0,808000.0,白,1496.0,手自排,1.0,ISAVE
138,TOYOTA,C-HR,2019.0,10521.0,888000.0,銀,1197.0,手自排,1.0,ISAVE
139,LUXGEN,URX,2019.0,13000.0,840000.0,其它顏,1798.0,手自排,1.0,ISAVE
140,MAZDA,MAZDA 3,2019.0,17115.0,388000.0,紅,1998.0,手自排,1.0,ISAVE
141,MITSUBISHI,COLT PLUS,2019.0,63105.0,1750000.0,藍,1499.0,手自排,1.0,ISAVE
142,BMW,X3,2019.0,50000.0,958000.0,黑,1998.0,手自排,1.0,ISAVE
143,VOLVO,V40,2019.0,17500.0,718000.0,藍,1498.0,手自排,1.0,ISAVE
144,HYUNDAI,TUCSON,2019.0,38516.0,498000.0,白,1591.0,手自排,1.0,ISAVE
145,MITSUBISHI,VERYCA,2019.0,44898.0,959000.0,白,1488.0,手排,1.0,ISAVE
146,TOYOTA,RAV4,2019.0,51701.0,758000.0,銀,2487.0,手自排,1.0,ISAVE
147,KIA,CARENS,2019.0,22439.0,498000.0,白,1685.0,手自排,1.0,ISAVE
148,NISSAN,LIVINA,2019.0,24000.0,488000.0,白,1598.0,自排,1.0,ISAVE
