,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_cylinderVolume,car_fuel,car_gear,car_address,car_title,car_photo,dealer_name,dealer_address,sunroof,SRS,keyless,TCS,cruise_sys,HID_head,LED_head,electric_seat,auto_AC,navi_sys,IVI_sys,parking_camera,LDW
1,1.01101E+11,MERCEDESBENZ,GLCCLASS,2020,21000,"2,388,000",,4,2200,æ±½æ²¹,,°åå¸,2021 Benz GLC300 AMG ½è  ¨æ °æ - ¸¥æ±½è,https://ct.yimg.com/xd/api/res/1.2/twGtqbwA.6KcxURk00mCfw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNDE7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/e5d04d5a-4c0a-4586-9ddd-6b0a02be586e.jpg,['¸¥ªè³ªè»'],°åå¸¸­å±±åæ°±è·¯67,1,1,1,1,1,0,1,1,1,1,1,1,1
2,1.01119E+11,MERCEDESBENZ,GCLASS,2011,150000,"2,380,000",,5,4800,æ±½æ²¹,ªæ,°åå¸,é¦³å 2011 G500 ç¸½ä»£ ä» AMG BRABUS ç²¾å,https://ct.yimg.com/xd/api/res/1.2/TBiTUleJOsscrgdR0DuDIQ--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNDA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/b9a33069-69d9-4b0d-a9c0-0af98be0bcf2.jpg,['é¦³åè»¥­'],°åå¸£«å»¶å¹³·¯ä¸®µ141,1,1,1,1,1,0,1,1,1,1,1,1,1
3,1.01116E+11,TOYOTA,ALPHARD,2018,68000,"2,380,000",,5,3300,æ±½æ²¹,,æ¡å¸,ç¾¥½ 19å¹´åToyota Alphardç¸½ä»£¹æ¬¾ ä¿ å¾º§å½±é,https://ct.yimg.com/xd/api/res/1.2/LueKsetrekUyrZCK9yjUfQ--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNDA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/fbfa86fc-b7d9-4148-8fee-f456a36f0c91.jpg,['ç¾¥½ ¾·æ±½è'],æ¡å¸ç¶è·32,1,1,1,1,1,0,1,0,1,1,0,1,0
4,1.01114E+11,MERCEDESBENZ,GLCCLASS,2017,66000,"2,380,000",é»,5,2600,æ±½æ²¹,,°åå¸,è±§¿æ¨¹æ¤§åº-23P.°æ. AMG GLC 43 Coupeé»#9768,https://ct.yimg.com/xd/api/res/1.2/O66LOhS7maABfPenSsQkBQ--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/2ffc2614-6eac-41d9-be89-98ef82cd1fc7.jpg,['è±§¿æ±½èæ¨¹æ¤§åº'],°åå¸¨¹ä½³åè·¯äæ®52,1,1,1,1,1,0,1,1,1,0,1,1,1
5,1.01105E+11,MERCEDESBENZ,GCLASS,2010,190000,"2,380,000",é»,5,4800,æ±½æ²¹,,å½°åç¸,2010å¹ BENZ G500 ç¸½ä»£ ä¿å¯¦èå¯¦å,https://ct.yimg.com/xd/api/res/1.2/tQLeHcpCjCVqXlFD8paUuQ--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/4b2e84f4-87e7-481f-8213-969c39a3df7e.jpg,['æ±½è¬åSAVEèª'],å½°åç¸å¿ä¸­æ­£è·¯äæ®555ä¹17,1,1,0,1,1,1,0,1,1,0,0,0,0
6,1.011E+11,LANDROVER,RANGEROVEREVOQUE,2019,8000,"2,380,000",ç´,5,2200,æ±½æ²¹,,æ¡å¸,2020å¼ Range Rover Evoque P250R ç¸½ä»£å¥½æ±½è»,https://ct.yimg.com/xd/api/res/1.2/yylaW5Yqf2TCv4XrdX7Hbw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/b8f8282d-6c50-4345-8799-d227aee78172.jpg,['~æ¡¥½æ±½è~'],æ¡å¸è·¯äæ®435,1,1,1,1,1,0,1,1,1,1,1,1,1
7,1.01092E+11,MERCEDESBENZ,GLCCLASS,2018,25000,"2,380,000",é»,5,2200,æ±½æ²¹,ªæ,°åå¸, GLC300 Coupe AMG 4Matic 23P ¥æ³°æ±½è GLC,https://ct.yimg.com/xd/api/res/1.2/YempCQy1lMgL2Bg2O6qtXA--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/71c1e25d-835f-420e-b315-e45e7276c653.jpg,['¥æ³°æ±½è'],°åå¸¸­å±±åæ°±è·¯514,1,1,1,1,1,0,1,1,1,1,1,1,1
8,1.01012E+11,MERCEDESBENZ,GCLASS,2007,51000,"2,380,000",é»,5,4800,æ±½æ²¹,,°åå¸,¨èæ±½è 2008å¹´å G500,https://ct.yimg.com/xd/api/res/1.2/gHp_g._iXL5nIT0N8CFduw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/a945dd6d-7393-4339-ae74-599f159d1557.jpg,['¨èæ±½è (ä½³ææ±½è)'],°åå¸¸­å±±åæ°±è·¯67,1,1,1,1,1,0,1,1,1,1,1,1,1
9,1.00984E+11,LANDROVER,DISCOVERY,2017,47000,"2,380,000",é»,5,2600,æ±½æ²¹,,æ¡å¸,2017 Discovery 5 Si6 HSE ç¸½ä»£ å¥½æ±½è»,https://ct.yimg.com/xd/api/res/1.2/0RsdSxZZ.rAQh6hXAkWYng--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/09c00dbb-c65e-4f82-a9f7-58a908b25795.jpg,['~æ¡¥½æ±½è~'],æ¡å¸è·¯äæ®435,1,1,1,1,1,0,1,1,1,1,1,1,1
10,1.00975E+11,BMW,X5,2015,57336,"2,380,000",é»,5,4800,æ±½æ²¹,,å½°åç¸,é´»é 2015 BMW X5 M ä¸­éä¸ ä» å¸ç¨ äºä¸,https://ct.yimg.com/xd/api/res/1.2/85AO8aEIItIG1ELMyrbrJQ--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/c9ad062f-4c66-4d1b-89ab-295be286626a.jpg,['SUMé´»éæ±½è'],å½°åç¸å£±å¸­å±±è·¯äº®µï¼ï¼,1,1,1,1,1,0,1,1,1,1,1,1,0
