,id,車款,車型,年份,里程,車輛價格,縣市,顏色,車門數,座位數,排氣量,驅動方式,燃料,變速系統,刊登標題,照片網址,車商名,車商地址,安全氣囊,智慧i-key,電動椅,天窗,全景天窗,ABS,倒車雷達,盲點偵測,胎壓偵測,ACC跟車,CD,VCD,DVD,MP3,衛星導航GPS,大螢幕,定速,旅程電腦,方向盤快撥鍵,電動伺服方向盤,皮椅,電子恆溫,自動停車輔助,電折後視鏡,渦輪增壓,防滑循跡,鋁圈,動態穩定,HID氙氣頭燈,上坡起步輔助,行李架,倒車顯影,電子避震,LED燈,自動煞停,KEY-LESSGO免持
0,267718,SKODA,Citigo 1.0,2018,48143 公里,面議,台南市,紅色,5 門,5 人座,1000cc,前輪驅動,汽油車,自手排,"大億汽車-2018年CITIGO.您終究要開進口車的,何不一開始就選擇歐洲車呢?",https://usedcar-img.azureedge.net/Storages/car-images-original/temp-c17ba584-d75c-42a4-806e-bb9e250b1d20.jpg?w=600&h=450,大億汽車商行,台南市安定區新吉里新吉1-12號,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
1,267340,BMW,3 Series 316,2015,112460 公里,面議,台南市,黑色,4 門,5 人座,1600cc,後輪驅動,汽油車,手自排,"大億汽車-2015年316i.保證實車在店,實車實價,全車無待修,免頭款可交車.",https://usedcar-img.azureedge.net/Storages/car-images-original/temp-95d7a126-976d-4d51-a2d6-0faa91e337f1.jpg?w=600&h=450,大億汽車商行,台南市安定區新吉里新吉1-12號,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0
2,267503,MINI,Cooper S Countryman 1.6,2016,18120 公里,99.8萬,台北市,紅色,5 門,5 人座,1600cc,前輪驅動,汽油車,手自排,MINI COUNTRYMAN S 不mini的MINI 2016年 益誠汽車,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-b7958db7-374a-4cda-830c-e126d4000d4f.jpg?w=600&h=450,益誠汽車,台北市中山區民族東路560號,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
3,267279,Benz,C-Class Coupe C63S,2018,30416 公里,348萬,新北市,白色,2 門,4 人座,4000cc,後輪驅動,汽油車,自手排,●龍德國際● BENZ AMG C63s COUPE 性能跑車座椅加持 ~,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-0ddb9f62-7277-45d0-9edf-604fd0efd901.jpg?w=600&h=450,龍德國際貿易有限公司,新北市泰山區新北大道7段20-22號,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
4,214849,BMW,3 Series 323,2006,110039 公里,32.8萬,新北市五股區,黑色,4 門,5 人座,2500cc,後輪驅動,汽油車,手自排,現正優惠中喜歡都可談 日規 正Ｍ版 天窗 車況極新 認證車 原鈑件 里程保證,https://usedcar-image-v2.azurewebsites.net//Storages/car-images-original/temp-39981dfa-055c-465d-9150-b90ba29a453d.JPG?w=600&h=450,祐昌汽車,新北市五股區四維路28號,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0
5,271889,Benz,C-Class Estate C300 T,2018,28997 公里,183萬,台南市,白色,5 門,5 人座,2000cc,前輪驅動,汽油車,自手排,台南昱翼汽車 2018年 賓士 C300旅行車 AMG版 全車原版件 低里程,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-4cc0fe5e-4446-40e7-949d-c9744edb398d.jpg?w=600&h=450,昱翼汽車,台南市仁德區中山路99號,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0
6,269608,PORSCHE,Cayenne 3.0,2018,33950 公里,279萬,台北市,白色,5 門,5 人座,3000cc,四輪驅動,汽油車,手自排,PORSCHE CAYENNE E3 3.0 斯圖加特精湛工藝 2018年 益誠,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-fd54f00b-6a2b-4478-a6e4-bb08a9a05c89.jpg?w=600&h=450,益誠汽車,台北市中山區民族東路560號,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1
7,271595,Benz,B-Class B180,2019,30206 公里,128萬,台北市,白色,5 門,5 人座,1400cc,前輪驅動,汽油車,手自排,Benz B180 你好賓士都會安全實用 2019年 益誠汽車,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-5fc7af7a-7b10-409a-af68-e05923cfb5b3.jpg?w=600&h=450,益誠汽車,台北市中山區民族東路560號,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
8,264052,FORD,Mustang 2.3,2018,60673 公里,129.8萬,台北市,黑色,2 門,4 人座,2300cc,後輪驅動,汽油車,手自排,Ford Mustang 2.3t 駿馬奔馳美型MAN敞篷 2018年 益誠,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-bc9b535d-740b-4f16-82a0-9aed08adf436.jpg?w=600&h=450,益誠汽車,台北市中山區民族東路560號,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1
9,271390,LUXGEN,U6 1.8,2017,34954 公里,46.8萬,台南市,白色,5 門,5 人座,1800cc,前輪驅動,汽油車,自手排,台南昱翼汽車 2017年 那智捷 U6 頂級 一手原版件,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-ebda1733-b56c-406e-a930-2740e73a56b9.jpg?w=600&h=450,昱翼汽車,台南市仁德區中山路99號,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1
