,id,car_brand,car_model,car_photo,car_price,car_title,dealer_name,car_address,dealer_address,car_year,car_color,car_cylinderVolume,car_gear,car_door,car_mileage,car_fuel,LED_head,LED_daytime,LED_back,HID,SRS,TCS,LDW,auto_braking_sys,parking_camera,Sunroof,navi_sys,IVI_sys,electric_seat,cruise_sys,auto_AC,rear_seat_air,Keyless,HUD
0,101114580446,HINO,500,https://ct.yimg.com/xd/api/res/1.2/eX8sP0IkFcIAtU_TQyg7.w--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MjE0/https://s.yimg.com/ob/image/1b55f5ab-6230-4309-bd56-5aaa9034a042.jpg,電洽,2021.01  HiNO 17噸吊卡 （五期環保） 代售：新車,['Y2321629960'],苗栗縣,['苗栗縣苗栗市水流娘7-5號'],2021,白,4800,手排,2,890,柴油,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100488048378,MITSUBISHI,VERYCA,https://ct.yimg.com/xd/api/res/1.2/wq0W8p2n36D6o0n3YXsDgQ--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/491e2f0f-caf8-4e1b-8908-cf98df152381.jpg,電洽,歐力克 胖卡鷗翼 行動餐車@我最多餐車 我最多廣告宣傳車 耐操貨車 保養維修便宜,['歐力克~SAVE認証~實車實價'],彰化縣,['彰化縣福興鄉彰鹿路6段570-2號'],2001,紅,1200,手排,2,72587,汽油,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101124747563,HYUNDAI,PORTER,https://ct.yimg.com/xd/api/res/1.2/zGbSEZyQTjDtnwM2N4I4GA--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/24786a23-97b1-4096-9544-a006cbdf0555.jpg,電洽,2014年現代小霸王貨車 里程少 柴油 渦輪 六輪 無待修 可全額貸款!!,['TACA連成汽車'],新北市,['新北市土城區金城路一段59-17號'],2014,藍,2200,手排,2,110000,柴油,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,101120435543,DODGE,PORTER,https://ct.yimg.com/xd/api/res/1.2/BwbSofu7AVaMnbL2Td3Mrw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/d28e6501-954b-4d43-8d3e-0eb3f69700bb.jpg,電洽,*新泰汽車*道奇 RAM1500 LIMITED 正2021全新車#706975,['新泰汽車'],台南市,['台南市仁德區太子路735號'],2021,黑,4800,手自排,4,188,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,101119340508,TOYOTA,ZACE,https://ct.yimg.com/xd/api/res/1.2/HafI3PhDtxAgCCD5oKNUYg--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/7e6d8462-9850-42b2-80f7-d44f450b604d.jpg,電洽,忠泰 2010 TOYOTA ZACE 貨車 後斗剛換新 會賺錢的車,['忠泰汽車-桃園30年老店'],桃園市,['桃園市桃園區經國路461號'],2006,藍,1500,手排,2,210000,汽油,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,101119291169,TOYOTA,TACOMA,https://ct.yimg.com/xd/api/res/1.2/DIoAX4mUql2rWDSVoQYrjw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzMz/https://s.yimg.com/ob/image/c7441b86-2c5d-448e-b87d-3c0ef5886ca3.jpg,電洽,萬奇國際 2018年 TOYOTA TACOMA TRD PRO 3.5,['萬奇國際興奇汽車'],彰化縣,['彰化縣大村鄉中山路三段104-6號'],2018,藍,3300,手自排,5,90000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,101115841667,FORD,RANGER,https://ct.yimg.com/xd/api/res/1.2/bQvOybMy72a4eof.6GSf0g--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/9fdd645b-f90d-49cf-9edf-61e19e10eaaf.jpg,電洽,高雄高昇汽車 2017年 Ford Ranger 3.2 總代理（謝謝）,['高雄高昇汽車'],高雄市,['高雄市左營區高雄市左營區華夏路1475號'],2017,白,3300,手自排,4,5000,柴油,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0
7,101114269389,MBENZ,RANGER,https://ct.yimg.com/xd/api/res/1.2/4DA7Xb.4AJTUKZoyRGMl4A--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/b02f98f5-3b23-46ad-ab4a-ec61b624b1ab.jpg,電洽,全新2020年 M-Benz SPRINTER 九人座新商旅好選擇,['德國歐馬 雙B旗艦總部'],台中市,['台中市南屯區環中路四段161號'],2020,藍,2200,自排,5,0,柴油,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
8,101114220851,FORD,RANGER,https://ct.yimg.com/xd/api/res/1.2/fsBsqgfYMVr3.5Qls3qqRg--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/987ce65f-e13c-42e3-93c6-964b099e50eb.jpg,電洽,2015年Ford ranger 3.2cc 柴油雙廂式貨卡員通4X4,['員通 4x4'],台中市,['台中市潭子區崇德路四段196號'],2015,銀,3300,手自排,5,112345,柴油,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
9,101114013112,TOYOTA,TUNDRA,https://ct.yimg.com/xd/api/res/1.2/mwPnTCp0W9e7HE13pzquuQ--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/58c7c304-63eb-463d-8729-e11cc0f1a0b8.jpg,電洽,2018年Tundra  off-road版 跟車 翩移 防碰撞員通4X4,['員通 4x4'],台中市,['台中市潭子區崇德路四段196號'],2018,黑,4800,手自排,5,24567,汽油,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
