,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolume,car_driveMode,car_fuel,car_gear,car_address,car_title,car_photo,dealer_name,dealer_address,sunroof,TPMS,SRS,keyless,ESP,TCS,ABS,cruise_sys,HID_head,LED_head,electric_seat,auto_AC,navi_sys,IVI_sys,leather_seat,parking_radar,parking_camera,BSM,ACC
0,267503,MINI,COOPER S COUNTRYMAN 1.6,2016,18120 ,990000,紅色,5 ,5 ,1600,2WD,汽油,手自排,台北市,MINI COUNTRYMAN S 不mini的MINI 2016年 益誠汽車,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-b7958db7-374a-4cda-830c-e126d4000d4f.jpg?w=600&h=450,益誠汽車,台北市中山區民族東路560號,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0
1,267279,BENZ,C-CLASS COUPE C63S,2018,30416 ,3480000,白色,2 ,4 ,4000,2WD,汽油,自手排,新北市,●龍德國際● BENZ AMG C63s COUPE 性能跑車座椅加持 ~,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-0ddb9f62-7277-45d0-9edf-604fd0efd901.jpg?w=600&h=450,龍德國際貿易有限公司,新北市泰山區新北大道7段20-22號,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,214849,BMW,3 SERIES 323,2006,110039 ,320000,黑色,4 ,5 ,2500,2WD,汽油,手自排,新北市五股區,現正優惠中喜歡都可談 日規 正Ｍ版 天窗 車況極新 認證車 原鈑件 里程保證,https://usedcar-image-v2.azurewebsites.net//Storages/car-images-original/temp-39981dfa-055c-465d-9150-b90ba29a453d.JPG?w=600&h=450,祐昌汽車,新北市五股區四維路28號,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
3,271889,BENZ,C-CLASS ESTATE C300 T,2018,28997 ,1830000,白色,5 ,5 ,2000,2WD,汽油,自手排,台南市,台南昱翼汽車 2018年 賓士 C300旅行車 AMG版 全車原版件 低里程,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-4cc0fe5e-4446-40e7-949d-c9744edb398d.jpg?w=600&h=450,昱翼汽車,台南市仁德區中山路99號,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
4,269608,PORSCHE,CAYENNE 3.0,2018,33950 ,2790000,白色,5 ,5 ,3000,4WD,汽油,手自排,台北市,PORSCHE CAYENNE E3 3.0 斯圖加特精湛工藝 2018年 益誠,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-fd54f00b-6a2b-4478-a6e4-bb08a9a05c89.jpg?w=600&h=450,益誠汽車,台北市中山區民族東路560號,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
5,271595,BENZ,B-CLASS B180,2019,30206 ,1280000,白色,5 ,5 ,1400,2WD,汽油,手自排,台北市,Benz B180 你好賓士都會安全實用 2019年 益誠汽車,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-5fc7af7a-7b10-409a-af68-e05923cfb5b3.jpg?w=600&h=450,益誠汽車,台北市中山區民族東路560號,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
6,264052,FORD,MUSTANG 2.3,2018,60673 ,1290000,黑色,2 ,4 ,2300,2WD,汽油,手自排,台北市,Ford Mustang 2.3t 駿馬奔馳美型MAN敞篷 2018年 益誠,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-bc9b535d-740b-4f16-82a0-9aed08adf436.jpg?w=600&h=450,益誠汽車,台北市中山區民族東路560號,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0
7,271390,LUXGEN,U6 1.8,2017,34954 ,460000,白色,5 ,5 ,1800,2WD,汽油,自手排,台南市,台南昱翼汽車 2017年 那智捷 U6 頂級 一手原版件,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-ebda1733-b56c-406e-a930-2740e73a56b9.jpg?w=600&h=450,昱翼汽車,台南市仁德區中山路99號,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0
8,265252,LEXUS,ES SERIES ES350,2007,252911 ,270000,銀色,4 ,5 ,3500,2WD,汽油,手自排,台南市,台南 [東達汽車] 2007年 LEXUS ES350 3.5L,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-9b1021ad-0205-48a2-ab03-56d2a22231ca.jpg?w=600&h=450,台南東達汽車 台南百家好店 GOO好店,台南市東區東門路3段230號,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0
9,265580,FORD,KUGA 2.0,2017,46890 ,750000,鐵灰色,5 ,5 ,2000,4WD,汽油,手自排,桃園市,誇張新才開3萬公里 完美AWD旗艦版 全景天窗+電動尾門+跟車系統+影音大螢幕!,https://usedcar-img.azureedge.net/Storages/car-images-original/temp-d2740539-0bc6-42c1-b97a-ffc1aba37501.jpg?w=600&h=450,桃園SUM模範店首福汽車,桃園市中壢區新中北路二段68號,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
