,car_brand,car_model,car_year,car_mileage,car_price,source
0,MINI,COOPER S COUNTRYMAN 1.6,2016,18120 ,990000,UsedCar
1,BENZ,C-CLASS COUPE C63S,2018,30416 ,3480000,UsedCar
2,BMW,3 SERIES 323,2006,110039 ,320000,UsedCar
3,BENZ,C-CLASS ESTATE C300 T,2018,28997 ,1830000,UsedCar
4,PORSCHE,CAYENNE 3.0,2018,33950 ,2790000,UsedCar
5,BENZ,B-CLASS B180,2019,30206 ,1280000,UsedCar
6,FORD,MUSTANG 2.3,2018,60673 ,1290000,UsedCar
7,LUXGEN,U6 1.8,2017,34954 ,460000,UsedCar
8,LEXUS,ES SERIES ES350,2007,252911 ,270000,UsedCar
9,FORD,KUGA 2.0,2017,46890 ,750000,UsedCar
10,LEXUS,ES SERIES ES300H 油電,2014,129599 ,660000,UsedCar
11,SUZUKI,VITARA 1.4,2018,57461 ,590000,UsedCar
12,LUXGEN,M7 2.2,2015,96532 ,580000,UsedCar
13,ALFA ROMEO,GIULIA TI,2017,53182 ,1490000,UsedCar
14,SKODA,RAPID 1.4,2016,61306 ,430000,UsedCar
15,SKODA,YETI 1.2,2015,99980 ,350000,UsedCar
16,LUXGEN,U6 1.8,2014,75016 ,370000,UsedCar
17,BENZ,GLC-CLASS GLC 300,2020,18050 ,1990000,UsedCar
18,BENZ,CLA-CLASS CLA200,2015,107444 ,890000,UsedCar
19,BMW,3 SERIES 320,2020,19342 ,1750000,UsedCar
20,BMW,3 SERIES GRAND TURISMO 320,2017,50999 ,1320000,UsedCar
21,TOYOTA,AURIS 2.0,2018,25588 ,700000,UsedCar
22,SUBARU,OUTBACK 2.5,2017,86655 ,690000,UsedCar
23,BENZ,B-CLASS B180,2018,6822 ,1120000,UsedCar
24,MINI,COOPER COUNTRYMAN 1.5,2018,17495 ,1160000,UsedCar
25,BMW,2 SERIES 218D,2015,102787 ,610000,UsedCar
26,FORD,FOCUS 1.6,2015,33625 ,320000,UsedCar
27,BENZ,E-CLASS E300,2019,18297 ,2380000,UsedCar
28,TOYOTA,RAV-4 2.0,2015,51900 ,590000,UsedCar
29,HYUNDAI,IX35 2.0,2016,75525 ,430000,UsedCar
30,LEXUS,NX SERIES 200 T,2015,117071 ,1120000,UsedCar
31,BENZ,C-CLASS C43 AMG,2016,72948 ,1990000,UsedCar
32,BMW,1 SERIES 118,2012,96976 ,550000,UsedCar
33,BENZ,C-CLASS C450,2016,37229 ,1780000,UsedCar
34,KIA,SOUL 1.6,2018,18592 ,590000,UsedCar
35,HYUNDAI,IX35 2.4,2014,75278 ,450000,UsedCar
36,BENZ,GL-CLASS GL350,2016,71079 ,1750000,UsedCar
37,BENZ,GLE-CLASS 3.5,2017,56353 ,1680000,UsedCar
38,BENZ,S-CLASS S400 3.0,2014,44554 ,1780000,UsedCar
39,PORSCHE,CAYENNE 3.0,2019,32604 ,2890000,UsedCar
40,BENZ,C-CLASS C300,2017,50125 ,1480000,UsedCar
41,BENZ,GLC-CLASS GLC 250,2016,70985 ,1630000,UsedCar
