,id,car_brand,car_model,car_photo,car_price,car_title,dealer_name,car_address,dealer_address,car_year,car_color,car_cylinderVolume,car_gear,car_door,car_mileage,car_fuel,LED_head,LED_daytime,LED_back,HID,SRS,TCS,LDW,auto_braking_sys,parking_camera,Sunroof,navi_sys,IVI_sys,electric_seat,cruise_sys,auto_AC,rear_seat_air,Keyless,HUD
0,101128015256,AUDI,Q5,https://ct.yimg.com/xd/api/res/1.2/a4.vAp2rjPp_6JzYxqPfOg--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/4d51a0aa-f576-4c06-a1e7-b595f597783f.jpg,電洽,2014年式 AUDI Q5 2.0T Quattro 高cp值休旅 勁陞汽車,['勁陞汽車'],新北市,['新北市中和區莒光路207-2號'],2013,黑,2200,手自排,5,100000,汽油,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
1,101128014719,VOLKSWAGEN,TIGUAN,https://ct.yimg.com/xd/api/res/1.2/2IivZfM7EDrW8L4TGlDViw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/9a9eb7f3-fa61-4ee8-ac76-ac97d7b7ffbb.jpg,電洽,2010年式 福斯TIGUAN 2.0 TDI 歐系柴油休旅 勁陞汽車,['勁陞汽車'],新北市,['新北市中和區莒光路207-2號'],2009,白,2200,自手排,5,152000,,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0
2,101127975941,PORSCHE,MACAN,https://ct.yimg.com/xd/api/res/1.2/QejHI5FGSC0WFwIW_V8Qrw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/dfb1cea2-6e8d-4fdc-873b-cd615eab926e.jpg,電洽,船長車庫 - 2020 Porsche Macan 跟車 選配眾多 #7213,['~ 船長嚴選 ~'],桃園市,['桃園市桃園區永安路1187號'],2020,黑,2200,手自排,5,8800,汽油,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3,101127963112,TOYOTA,SIENNA,https://ct.yimg.com/xd/api/res/1.2/3BOOLLcw1ZBLGLm9xdnoKg--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/412a9ae3-e866-4105-82c5-fb349b10f7b7.jpg,電洽,2021 TOYOTA New Sienna XSE運動版#6544,['五太汽車進口貿易有限公司'],桃園市,['桃園市桃園區國際路二段361之2號'],2021,白,2600,自手排,5,239,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,101127926811,MINI,SIENNA,https://ct.yimg.com/xd/api/res/1.2/RqSwxFfwlK5zbOA5K_AAvQ--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/8479d94a-a236-4f8a-a757-75bbf179e1cb.jpg,電洽,Mini Countryman Cooper S 2019白色 總代理-金帝汽車,['金帝汽車'],新北市,['新北市泰山區新北大道五段56號（泰山捷運站旁）'],2018,白,2200,手自排,5,15000,汽油,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
5,101127907267,SKODA,SIENNA,https://ct.yimg.com/xd/api/res/1.2/4WU1F.WODT7W0XQxFqkEFA--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/1d41d7ac-0598-47d9-99f8-e0b269507709.jpg,電洽,[聰明精選] SKODA  KODIAQ   2.0T 4X4 豪華菁英版,['元三通達汽車有限公司'],新北市,['新北市中和區橋和路 121 號'],2018,藍,2200,自手排,5,46000,汽油,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0
6,101127531335,MERCEDESBENZ,,https://ct.yimg.com/xd/api/res/1.2/AqCQO87CNAyGAXlAgMceuw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/cad95726-52b2-4143-8b78-914e48a702c6.jpg,電洽,2020/21年GLB250 4MATIC 七人座 360環景. #7388新車,['五太汽車進口貿易有限公司'],桃園市,['桃園市桃園區國際路二段361之2號'],2020,白,2200,手自排,5,181,汽油,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
7,101127503208,NISSAN,LIVINA,https://ct.yimg.com/xd/api/res/1.2/mbya09hl0gxJ4upbzahgYA--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/733841ee-13f5-403d-b1d4-b67f6f225e16.jpg,電洽,NISSAN LIVINA 影音精裝版行李架 皮椅 導航 僅跑9200公里 全原,['Y2564511762'],南投縣,['南投縣竹山鎮集山路二段'],2020,灰,1500,自排,5,9200,,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
8,101127455020,MERCEDESBENZ,,https://ct.yimg.com/xd/api/res/1.2/krrj3aHQkkGm.bSR82MxTw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9MzYw/https://s.yimg.com/ob/image/ee6ba746-9a36-4e06-81e3-b4aabccb2408.jpg,電洽,2020年GLB250 4MATIC 23P 360環景.停車雷達 #2157,['五太汽車進口貿易有限公司'],桃園市,['桃園市桃園區國際路二段361之2號'],2020,白,2200,手自排,5,155,汽油,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
9,101127454668,HONDA,ODYSSEY,https://ct.yimg.com/xd/api/res/1.2/5oE7JFoUiSY5tP25Vv1OnA--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD0yNzA7cT04NTtyb3RhdGU9YXV0bztzcj0xLjI7c3M9MS4yO3c9Mjc2/https://s.yimg.com/ob/image/ec67f295-d9c5-4b71-8a63-4ef210140e41.jpg,電洽,*信義德品汽車*16年 ODYSSEY 2.4 APEX 白 附德國萊因鑑定,['信義德品汽車'],台北市,['台北市信義區松平路128號'],2016,白,2200,自手排,5,30000,汽油,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0
